Region,CancerSiteICD10Code,CancerSite,Sex,SexQF,Year,IncidencesAgeUnder5,IncidencesAge5To9,IncidencesAge10To14,IncidencesAge15To19,IncidencesAge20To24,IncidencesAge25To29,IncidencesAge30To34,IncidencesAge35To39,IncidencesAge40To44,IncidencesAge45To49,IncidencesAge50To54,IncidencesAge55To59,IncidencesAge60To64,IncidencesAge65To69,IncidencesAge70To74,IncidencesAge75To79,IncidencesAge80To84,IncidencesAge85To89,IncidencesAge90AndOver,IncidencesAllAges,IncidenceRateAgeUnder5,IncidenceRateAge5To9,IncidenceRateAge10To14,IncidenceRateAge15To19,IncidenceRateAge20To24,IncidenceRateAge25To29,IncidenceRateAge30To34,IncidenceRateAge35To39,IncidenceRateAge40To44,IncidenceRateAge45To49,IncidenceRateAge50To54,IncidenceRateAge55To59,IncidenceRateAge60To64,IncidenceRateAge65To69,IncidenceRateAge70To74,IncidenceRateAge75To79,IncidenceRateAge80To84,IncidenceRateAge85To89,IncidenceRateAge90AndOver,CrudeRate,CrudeRateLower95pcConfidenceInterval,CrudeRateUpper95pcConfidenceInterval,EASR,EASRLower95pcConfidenceInterval,EASRLower95pcConfidenceIntervalQF,EASRUpper95pcConfidenceInterval,EASRUpper95pcConfidenceIntervalQF,WASR,WASRLower95pcConfidenceInterval,WASRLower95pcConfidenceIntervalQF,WASRUpper95pcConfidenceInterval,WASRUpper95pcConfidenceIntervalQF,StandardisedIncidenceRatio,SIRLower95pcConfidenceInterval,SIRUpper95pcConfidenceInterval
North of Scotland,"C00-C97, excluding C44",All cancer types,All,d,2015-2019,86,61,46,78,126,243,444,585,842,1431,2553,3436,4858,6480,6821,6137,4879,3121,1540,43767,24.4238388026639,16.1235326924449,12.7552081455868,20.96086767243,28.9863741036654,53.3796103068778,100.209672941808,138.715330059493,201.865215410803,295.977314610855,490.106679311278,696.736935168588,1091.81542970286,1522.51704020808,1932.45337435653,2348.37179045651,2563.86003079365,2755.99590265268,2568.63595423158,626.950850388129,621.09077805826,632.852449950809,619.088971354989,613.227827940601, ,624.977606617237, ,290.30011281502,287.207934670859, ,293.408619084948, ,96.3649337120942,95.4642164050417,97.2720339262511
North of Scotland,"C00-C97, excluding C44",All cancer types,Male, ,2015-2019,47,33,28,37,60,97,147,199,251,504,937,1599,2547,3571,3979,3394,2564,1446,619,22059,25.9268861809697,17.0264580839559,15.180594862453,19.2748489268598,26.7655206562906,41.2565819134548,66.3848696688885,94.6469762906946,121.936408462678,213.753149041928,367.016317929354,657.083682627348,1158.96525834414,1708.13841134996,2358.98834438028,2858.29782216907,3174.68178891585,3359.04107043301,3414.04224808339,641.075195193869,632.642875713768,649.591820112001,670.709272077143,661.764915699541, ,679.712838325949, ,293.909700493551,289.61029853439, ,298.24034293525, ,96.7156662723169,95.4435262755535,98.0005249901768
North of Scotland,"C00-C97, excluding C44",All cancer types,Female, ,2015-2019,39,28,18,41,66,146,297,386,591,927,1616,1837,2311,2909,2842,2743,2315,1675,921,21708,22.8289119389356,15.1750825145112,10.2161858437718,22.7572962111877,31.3512383739158,66.3286630685638,134.004105849708,182.530074903533,279.743450169219,374.247568601961,608.422281207056,735.364760135784,1026.28096384258,1343.32011101208,1542.0761054168,1923.72429657475,2113.47970968184,2386.17585047581,2202.13757980059,613.221724794858,605.091039118878,621.434358421076,567.468670632836,559.909157035837, ,575.078172925883, ,286.690525136489,282.254616870984, ,291.160540931935, ,96.0111263789868,94.7381181693616,97.2969650456695
North of Scotland,C67,Bladder,All,d,2015-2019,0,0,0,0,0,0,2,0,9,8,25,45,99,148,176,203,194,138,75,1122,0,0,0,0,0,0,.451394923161299,0,2.1577042027283,1.65466003975321,4.79932118401173,9.12490165383773,22.249840992298,34.7735373380857,49.8624532893637,77.6795622393143,101.944834181998,121.860760835011,125.095906861927,16.0723571214724,15.1455571864304,17.0410345245307,16.8431330933142,15.8497613509938, ,17.8662705132151, ,5.93900837633781,5.56328597032162, ,6.3268343474477, ,95.0278364107646,89.5481303572568,100.755143058876
North of Scotland,C67,Bladder,Male, ,2015-2019,0,0,0,0,0,0,1,0,5,5,20,34,70,107,132,151,140,88,49,802,0,0,0,0,0,0,.451597752849582,0,2.42901212077048,2.12056695478103,7.83385950756359,13.97176060621,31.8522057652492,51.1819686402816,78.2574670666493,127.16646174058,173.344559457184,204.422969708233,270.255363741658,23.3075981026104,21.7222087043559,24.9781018927076,25.6325436077127,23.8530914493075, ,27.4751007161099, ,8.88338329978385,8.23362112294934, ,9.55747141672165, ,97.9429421787657,91.2808356210472,104.962715533472
North of Scotland,C67,Bladder,Female, ,2015-2019,0,0,0,0,0,0,1,0,4,3,5,11,29,41,44,52,54,50,26,320,0,0,0,0,0,0,.451192275588242,0,1.89335668473245,1.21115717994162,1.88249468195252,4.40338179722027,12.8784716362764,18.9330094711225,23.8745069100419,36.468707044071,49.2993107226001,71.2291298649496,62.1667503526768,9.03956845100215,8.07616642080149,10.0862654527641,8.05372257891569,7.19119813496109, ,8.96439238516941, ,2.99463345289176,2.62609221403945, ,3.38702204279111, ,88.4313621032527,79.0066916396712,98.6708820622988
North of Scotland,C40-C41,Bone and articular cartilage,All,d,2015-2019,1,2,5,4,3,4,2,1,5,0,1,9,5,6,5,0,3,2,1,59,.283998125612371,.528640416145736,1.38643566799857,1.07491629089385,.690151764372986,.878676712870417,.451394923161299,.23712022232392,1.19872455707128,0,.191972847360469,1.82498033076755,1.12372934304535,1.40973800019266,1.41654696844783,0,1.57646650796904,1.7660979831161,1.6679454248257,.845159599079206,.643374645336557,1.09019430595316,.826192840507175,.628016347658181, ,1.05112964208929, ,.757027650790794,.548578202062837, ,.998524079601569, ,93.9724576941058,71.5361887934776,121.217623755507
North of Scotland,C40-C41,Bone and articular cartilage,Male, ,2015-2019,1,1,4,3,2,3,2,1,4,0,1,4,4,6,3,0,2,0,0,41,.551635876190844,.515953275271391,2.16865640892185,1.5628255886643,.892184021876352,1.27597676020994,.903195505699164,.475612946184395,1.94320969661639,0,.39169297537818,1.64373654190706,1.82012604372853,2.87001693309991,1.7785787969693,0,2.47635084938834,0,0,1.19153556384916,.855066492580085,1.61645253607403,1.1714632621362,.839533143153782, ,1.55782649285653, ,1.11859195430335,.763954313722415, ,1.53977907031573, ,108.469238729216,77.8393984426337,147.150770274497
North of Scotland,C40-C41,Bone and articular cartilage,Female, ,2015-2019,0,1,1,1,1,1,0,0,1,0,0,5,1,0,2,0,1,2,1,18,0,.541967232661113,.567565880209545,.55505600515092,.475018763241148,.45430591142852,0,0,.473339171183111,0,0,2.00153718055467,.444085228837118,0,1.08520485954736,0,.912950198566668,2.84916519459798,2.39102885971834,.508475725368871,.301354940361434,.803610863175058,.480922418878153, ,z, ,z,.395463347278235, ,z, ,z,72.0414423804496,42.6963245027334,113.856537898109
North of Scotland,"ICD-10 C40-C41, C47+C49",Bone and connective tissue,All,d,2015-2019,4,3,10,9,4,8,6,8,8,7,20,20,21,32,27,24,15,10,4,240,1.13599250244948,.792960624218603,2.77287133599714,2.41856165451116,.920202352497314,1.75735342574083,1.3541847694839,1.89696177859136,1.91795929131404,1.44782753478406,3.83945694720939,4.0555118461501,4.71966324079048,7.51860266769421,7.6493536296183,9.1837906095741,7.88233253984519,8.83048991558052,6.6717816993028,3.4379373521866,3.01670877796196,3.90152351375673,3.43323791838705,3.00894449319961, ,3.88510878421693, ,2.39863686698109,2.04382637149793, ,2.78142776409555, ,90.5850419091801,79.4862334840602,102.799915995713
